                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.6102,                0.61653,                 1.1003,                0.92209,                0.82155,                0.89986,                0.75058,                  0.652,                 0.5735,                 1.2378,              0.0060895,              0.0060895,              0.0060895
                     81,                0.60101,                0.62966,                 1.0924,                0.91695,                0.83133,                0.90115,                0.75028,                0.64445,                0.59047,                 1.2382,                0.00604,                0.00604,                0.00604
                     82,                0.59858,                0.62497,                 1.0868,                0.89301,                0.85433,                0.90294,                0.75277,                0.65954,                0.58919,                 1.2494,              0.0059905,              0.0059905,              0.0059905
                     83,                  0.599,                0.61995,                 1.0921,                0.93376,                0.82353,                0.89577,                0.74013,                0.66028,                0.58581,                 1.2489,               0.005941,               0.005941,               0.005941
                     84,                0.59646,                0.61138,                 1.0872,                0.92021,                0.82824,                0.89185,                0.73746,                0.67801,                0.59595,                 1.2605,              0.0058915,              0.0058915,              0.0058915
                     85,                0.59851,                0.62055,                 1.0967,                0.92466,                0.82706,                  0.896,                0.74779,                0.64919,                0.57833,                 1.2438,               0.005842,               0.005842,               0.005842
                     86,                 0.6067,                0.61801,                 1.0994,                0.90608,                0.85126,                0.89271,                0.74634,                0.65416,                 0.5736,                 1.2501,              0.0057925,              0.0057925,              0.0057925
                     87,                0.59251,                0.60422,                 1.0798,                0.88247,                0.84798,                 0.8994,                0.75148,                 0.6509,                0.57541,                 1.2425,               0.005743,               0.005743,               0.005743
                     88,                0.60083,                0.60796,                 1.0975,                0.89918,                0.83765,                0.89244,                0.74516,                0.65722,                0.56214,                 1.2584,              0.0056935,              0.0056935,              0.0056935
                     89,                0.58563,                0.59718,                 1.0879,                0.91385,                0.82365,                0.90079,                0.75994,                0.63394,                0.57898,                 1.2378,               0.005644,               0.005644,               0.005644
                     90,                 0.5871,                0.60917,                 1.0849,                 0.8758,                0.85452,                0.89939,                  0.754,                0.64016,                0.57158,                 1.2379,              0.0055945,              0.0055945,              0.0055945
                     91,                  0.587,                0.58996,                 1.0837,                0.92161,                0.85529,                0.90649,                0.75659,                0.64836,                0.55911,                 1.2399,               0.005545,               0.005545,               0.005545
                     92,                0.60086,                0.60219,                 1.0938,                0.91866,                0.84588,                0.90682,                0.75874,                0.62907,                0.55676,                 1.2267,              0.0054955,              0.0054955,              0.0054955
                     93,                0.58723,                0.59318,                 1.0823,                0.90683,                 0.8474,                0.89412,                0.74625,                0.65378,                0.56328,                 1.2486,               0.005446,               0.005446,               0.005446
                     94,                0.60032,                0.60299,                 1.0875,                0.93097,                0.81412,                 0.8931,                0.75149,                0.63619,                0.57371,                 1.2283,              0.0053965,              0.0053965,              0.0053965
                     95,                0.58171,                0.59846,                  1.078,                0.92445,                0.82588,                0.89506,                0.74832,                0.64776,                0.57383,                 1.2483,               0.005347,               0.005347,               0.005347
                     96,                0.58213,                0.59354,                 1.0782,                0.91325,                0.82979,                0.89792,                0.75265,                0.66846,                0.56861,                  1.268,              0.0052975,              0.0052975,              0.0052975
                     97,                0.57366,                0.57024,                 1.0745,                0.91998,                0.83529,                0.90465,                0.76114,                0.64151,                0.56044,                 1.2512,               0.005248,               0.005248,               0.005248
                     98,                0.58506,                0.59835,                 1.0768,                0.88525,                0.84706,                0.89254,                0.74762,                0.66133,                0.57786,                 1.2614,              0.0051985,              0.0051985,              0.0051985
                     99,                0.56844,                0.59106,                 1.0746,                0.89758,                0.83882,                0.89775,                0.76034,                0.63505,                0.55811,                 1.2493,               0.005149,               0.005149,               0.005149
                    100,                0.57856,                0.58249,                 1.0682,                0.91081,                0.84098,                0.90086,                0.76248,                0.63616,                  0.547,                 1.2376,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.5641,                0.56369,                 1.0625,                0.90307,                0.84401,                0.89953,                0.75394,                0.64301,                0.56274,                 1.2542,                0.00505,                0.00505,                0.00505
                    102,                0.57246,                0.57919,                  1.067,                0.91106,                0.83882,                0.90225,                0.75559,                0.63511,                0.56394,                 1.2403,              0.0050005,              0.0050005,              0.0050005
                    103,                0.56321,                0.56802,                 1.0646,                0.91128,                0.83059,                 0.8937,                0.75795,                0.63765,                0.55924,                 1.2362,               0.004951,               0.004951,               0.004951
                    104,                0.56156,                 0.5584,                 1.0685,                0.92153,                0.83059,                0.90079,                0.75767,                0.63622,                0.54113,                 1.2347,              0.0049015,              0.0049015,              0.0049015
                    105,                0.56245,                 0.5741,                 1.0702,                0.92642,                0.82588,                0.89517,                0.75317,                0.63317,                 0.5544,                 1.2495,               0.004852,               0.004852,               0.004852
                    106,                0.55673,                0.56396,                 1.0533,                0.90313,                0.84353,                0.89876,                0.75629,                0.62991,                0.54888,                 1.2342,              0.0048025,              0.0048025,              0.0048025
                    107,                0.55386,                0.55731,                 1.0599,                0.91251,                0.84667,                0.89295,                0.75903,                0.62587,                0.55428,                 1.2307,               0.004753,               0.004753,               0.004753
                    108,                0.55432,                0.55843,                 1.0604,                0.91783,                0.84941,                 0.9017,                0.76134,                0.63764,                0.53175,                 1.2328,              0.0047035,              0.0047035,              0.0047035
                    109,                0.55656,                0.56554,                 1.0573,                0.90983,                0.84287,                0.90524,                0.77128,                0.62436,                0.53932,                 1.2247,               0.004654,               0.004654,               0.004654
